"SampleEvent","Acidic Dry","Acidic Mesic","Acidic Hydric","Non-acidic Dry","Non-acidic Mesic","Non-acidic Hydric"
"Early Season","18.1 ± 1.1","23.3 ± 1.8","14.8 ± 0.7","19.8 ± 0.5","22.6 ± 0.8","30.8 ± 1.2"
"Mid Season","38.6 ± 2","39.6 ± 2.4","30.3 ± 1","31.6 ± 0.8","29.1 ± 1.2","41.6 ± 1.3"
"Late Season","40.8 ± 2.2","46.8 ± 2","35.4 ± 1.3","34 ± 0.7","35.3 ± 1.1","51.5 ± 1.6"
