"Area","SiteName","Fraction","Horizon","mean","se","Accumulation"
"Acidic","Dry","PfracNRP","Organic",665.841092592593,83.8827630365863,1148.27907407407
"Acidic","Dry","PfracRP","Organic",96.8249074074074,5.57838533357724,1245.10398148148
"Acidic","Dry","ResP","Organic",482.437981481481,67.8292699678444,482.437981481481
"Acidic","Mesic","PfracNRP","Organic",476.894833333333,56.5692155360237,789.164666666667
"Acidic","Mesic","PfracRP","Organic",116.3895,18.4540381430009,905.554166666667
"Acidic","Mesic","ResP","Organic",312.269833333333,103.250890456666,312.269833333333
"Acidic","Hydric","PfracNRP","Organic",830.250851851852,86.759545803687,1222.45240740741
"Acidic","Hydric","PfracRP","Organic",124.104148148148,8.87007020917958,1346.55655555556
"Acidic","Hydric","ResP","Organic",392.201555555556,75.2047477106275,392.201555555556
"Non-acidic","Dry","PfracNRP","Organic",506.891125,42.3355462556659,1423.475375
"Non-acidic","Dry","PfracRP","Organic",113.19525,10.73631749143,1536.670625
"Non-acidic","Dry","ResP","Organic",916.58425,253.498373298511,916.58425
"Non-acidic","Mesic","PfracNRP","Organic",737.164222222222,79.4622851187869,1158.12455555556
"Non-acidic","Mesic","PfracRP","Organic",115.524333333333,12.9736392639074,1273.64888888889
"Non-acidic","Mesic","ResP","Organic",420.960333333333,73.8552599339862,420.960333333333
"Non-acidic","Hydric","PfracNRP","Organic",321.134592592593,46.3889052258048,677.541888888889
"Non-acidic","Hydric","PfracRP","Organic",100.229777777778,9.41849603649681,777.771666666667
"Non-acidic","Hydric","ResP","Organic",356.407296296296,40.9354315671374,356.407296296296
