Batch,Project,Sample Date,Area,Site,Plot,Rep,Horizon,Sample Name,SedWetWeight,Seddw.ww,SedDryWeight,H2O~SRP (ugP/gdw),H2O~TP (ugP/g dw),H2O~DNRP (ugP/gdw),H2O~Fe (mg Fe/g dw),H2O~Ca (mg Ca/g dw),BD~SRP (ugP/gdw),BD~TP (ugP/gdw),BD~NRP (ugP/gdw),BD~Fe (mg Fe/gdw),BD~Al (mg Al/gdw),BD~Ca (mg Ca/gdw),NaOH~SRP (ug/gdw),NaOH~TP (ugP/gdw),NaOH~DNRP (ugP/gdw),NaOH~Fe (mg Fe/gdw),NaOH~Al (mg Al/gdw),NaOH~Ca (mg Ca/gdw),HA~P (ug P/gdw),HA~Fe (mg Fe/gdw),HCl~P (ug P/gdw),HCl~Fe (mg Fe/gdw),HCl~Al (mg Al/gdw),HCl~Ca (mg Ca/gdw),Res~P (ug P/gdw),Res~Fe (mg Fe/gdw),Res~Al (mg Al/gdw),Res~Ca (mg Ca/gdw)
20211108_Pfrac,PhIr2021,5-Aug-21,West,Hydric,2,C,Organic,5-Aug-21 West Hydric 2C-O,3.760,0.159,0.597,0.699,4.187,3.488,0.021,0.166,20.695,6.281,-14.414,2.227,0.031,9.341,41.280,310.318,269.038,0.618,0.749,1.262,11.984,NA,17.562,1.230,0.097,1.984,809.153,30.656,6.153,11.488
20211108_Pfrac,PhIr2021,5-Aug-21,West,Hydric,3,A,Organic,5-Aug-21 West Hydric 3A-O,5.165,0.144,0.746,1.253,3.351,2.098,0.017,0.267,26.442,5.026,-21.416,0.849,0.025,9.199,27.431,281.606,254.175,0.379,0.698,1.077,26.297,0.045,32.900,1.132,0.220,3.977,673.736,8.404,8.065,11.827
20211108_Pfrac,PhIr2021,5-Aug-21,West,Hydric,3,B,Organic,5-Aug-21 West Hydric 3B-O,5.168,0.157,0.809,1.289,3.089,1.800,0.015,0.316,25.871,4.634,-21.237,1.780,0.023,10.217,28.998,294.074,265.077,0.647,0.490,2.013,18.425,0.045,48.062,2.585,0.357,5.643,558.992,18.163,7.568,11.311
20211108_Pfrac,PhIr2021,5-Aug-21,West,Hydric,3,C,Organic,5-Aug-21 West Hydric 3C-O,4.455,0.152,0.676,1.367,3.699,2.332,0.018,0.318,17.851,5.548,-12.303,1.386,0.028,11.019,30.233,253.879,223.646,0.723,0.664,1.717,12.046,0.051,43.315,2.155,0.230,5.641,607.558,35.167,7.730,11.298
20220103_Pfrac,PhIr2021,2-Jul-21,East,Dry,1,,Organic,2-Jul-21 East Dry 1-O,3.440,0.269,0.925,1.093,2.704,1.610,0.014,0.103,9.707,48.835,39.128,13.448,0.257,3.736,83.700,354.147,270.447,2.573,3.100,1.209,660.447,2.241,6.785,7.678,1.104,0.988,1698.787,29.141,36.333,6.220
20220103_Pfrac,PhIr2021,2-Jul-21,East,Dry,2,A,Organic,2-Jul-21 East Dry 2A-O,3.250,0.248,0.805,9.391,15.415,6.024,0.016,0.074,20.239,102.678,82.439,3.849,0.165,3.808,66.112,473.433,407.321,1.492,1.536,0.997,256.817,0.691,6.961,1.694,0.348,0.939,1262.614,35.490,27.813,4.267
20220103_Pfrac,PhIr2021,2-Jul-21,East,Dry,2,B,Organic,2-Jul-21 East Dry 2B-O,3.270,0.234,0.767,3.306,7.173,3.867,0.016,0.076,27.508,104.478,76.970,11.862,0.382,3.911,106.387,407.975,301.589,2.634,2.158,0.895,613.494,2.741,6.640,5.505,0.802,0.739,1135.564,24.949,21.510,4.350
20220103_Pfrac,PhIr2021,2-Jul-21,East,Dry,2,C,Organic,2-Jul-21 East Dry 2C-O,3.050,,0.786,2.010,5.069,3.059,0.011,0.041,25.486,98.905,73.419,11.180,0.266,3.749,97.921,428.610,330.689,2.980,2.169,0.840,634.613,1.799,4.676,3.211,0.634,0.543,,,,
20220103_Pfrac,PhIr2021,2-Jul-21,East,Dry,3,,Organic,2-Jul-21 East Dry 3-O,3.050,0.305,0.930,0.710,2.689,1.979,0.013,0.044,27.972,31.407,3.435,1.394,0.104,1.947,52.736,410.928,358.191,0.567,1.823,0.608,262.478,0.255,5.147,0.904,0.489,0.583,1030.221,14.736,23.607,2.465
20220103_Pfrac,PhIr2021,2-Jul-21,East,Mesic,1,,Organic,2-Jul-21 East Mesic 1-O,3.050,0.207,0.632,2.390,3.955,1.566,0.020,0.044,108.252,75.208,-33.044,1.428,0.110,1.954,59.821,403.231,343.410,0.612,0.883,0.383,65.068,0.114,7.283,1.374,0.254,0.883,798.207,9.636,15.265,2.425
