Project,Sample Date,Area,Site,Plot,Replicate,Horizon,SampleName,PSI
PhIr2021,2-Aug-21,East,Hydric,3,C,Organic,2-Aug-21 East Hydric 3-O,47.573
PhIr2021,2-Aug-21,East,,,,,2-Aug-21 East Blank,
PhIr2021,5-Aug-21,West,Dry,1,,Organic,5-Aug-21 West Dry 1-O,25.013
PhIr2021,5-Aug-21,West,Dry,2,,Organic,5-Aug-21 West Dry 2-O,23.519
PhIr2021,5-Aug-21,West,Dry,3,,Organic,5-Aug-21 West Dry 3-O,15.749
PhIr2021,5-Aug-21,West,Mesic,1,A,Organic,5-Aug-21 West Mesic 1-O,18.899
PhIr2021,5-Aug-21,West,Mesic,1,B,Organic,5-Aug-21 West Mesic 1-O,18.162
PhIr2021,5-Aug-21,West,Mesic,1,C,Organic,5-Aug-21 West Mesic 1-O,27.291
PhIr2021,5-Aug-21,West,Mesic,2,,Organic,5-Aug-21 West Mesic 2-O,44.69
PhIr2021,5-Aug-21,West,Mesic,3,,Organic,5-Aug-21 West Mesic 3-O,39.866
PhIr2021,5-Aug-21,West,Hydric,1,,Organic,5-Aug-21 West Hydric 1-O,23.248
PhIr2021,5-Aug-21,West,Hydric,2,,Organic,5-Aug-21 West Hydric 2-O,47.325
PhIr2021,5-Aug-21,West,Hydric,3,A,Organic,5-Aug-21 West Hydric 3-O,75.466
PhIr2021,5-Aug-21,West,Hydric,3,B,Organic,5-Aug-21 West Hydric 3-O,58.468
PhIr2021,5-Aug-21,West,Hydric,3,C,Organic,5-Aug-21 West Hydric 3-O,33.497
PhIr2021,5-Aug-21,West,,,,Mineral,5-Aug-21 West Blank,
